City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iqaluit,63.7506,-68.5145,0.39,99,100,1.34,CA,1682308813
83,invercargill,-46.4,168.35,11.68,82,90,0.89,NZ,1682308824
84,kailua-kona,19.6406,-155.9956,25.84,81,66,1.34,US,1682308839
85,qaqortoq,60.7167,-46.0333,0.2,83,96,1.42,GL,1682308839
86,calvinia,-31.4707,19.776,15.81,82,100,1.96,ZA,1682308840
87,cockburn town,21.4612,-71.1419,25.29,72,2,3.27,TC,1682308840
88,orshanka,56.9161,47.8933,11.59,60,64,2.98,RU,1682308840
89,chui,-33.6971,-53.4616,17.19,95,60,2.46,UY,1682308840
90,balsas,-7.5325,-46.0356,22.72,67,97,0.81,BR,1682308841
91,kruisfontein,-34.0033,24.7314,17.16,79,100,2.25,ZA,1682308841
92,nantucket,41.2835,-70.0995,11.08,97,100,2.57,US,1682308841
93,olonkinbyen,70.9221,-8.7187,-4.83,77,92,7.86,SJ,1682308842
94,namibe,-15.1961,12.1522,24.06,69,27,3.57,AO,1682308842
95,howrah,22.5892,88.3103,31.0,66,40,0.0,IN,1682308842
96,margate,51.3813,1.3862,8.16,82,89,3.58,GB,1682308842
97,mutum biyu,8.6333,10.7667,25.93,77,100,1.67,NG,1682308842
98,prado,-17.3411,-39.2208,24.19,76,96,4.54,BR,1682308843
99,malkapur,20.8833,76.2,33.36,14,6,2.4,IN,1682308843
100,atafu village,-8.5421,-172.5159,28.99,71,39,1.06,TK,1682308843
101,tarawa,1.419,172.984,28.18,80,62,6.96,KI,1682308843
102,sterling,39.0062,-77.4286,9.53,56,40,2.57,US,1682308844
103,manati,18.4275,-66.4921,24.37,94,68,2.34,PR,1682308844
104,vilyuchinsk,52.9306,158.4028,5.15,74,98,8.53,RU,1682308844
105,ascension,30.2169,-90.9001,18.33,72,0,3.6,US,1682308845
106,tazovsky,67.4667,78.7,0.27,98,100,8.44,RU,1682308845
107,blackmans bay,-43.0167,147.3167,21.07,47,2,0.92,AU,1682308845
108,kudahuvadhoo,2.6708,72.8944,29.44,67,100,2.62,MV,1682308846
109,lubana,56.9,26.7167,9.96,69,5,3.6,LV,1682308846
110,yarmouth,41.7057,-70.2286,11.19,95,100,4.12,US,1682308846
111,mount pearl,47.5166,-52.7813,2.47,95,100,3.13,CA,1682308846
112,sao joao da barra,-21.6403,-41.0511,19.67,84,0,3.73,BR,1682308847
113,queenstown,-31.8976,26.8753,16.3,49,100,2.68,ZA,1682308847
114,stanley,54.868,-1.6985,4.01,87,75,5.66,GB,1682308847
115,hawaiian paradise park,19.5933,-154.9731,23.91,91,95,3.2,US,1682308847
116,alofi,-19.0595,-169.9187,25.64,66,9,5.09,NU,1682308847
117,magalia,39.8121,-121.5783,16.35,64,32,2.73,US,1682308847
118,san matias,-16.3667,-58.4,22.53,88,48,0.72,BO,1682308847
119,juneau,58.3019,-134.4197,7.45,100,100,1.77,US,1682308848
120,margaret river,-33.95,115.0667,14.31,64,79,7.5,AU,1682308848
121,alesund,62.4723,6.1549,3.84,87,75,10.29,NO,1682308848
122,ore,6.7457,4.8775,24.14,94,100,0.16,NG,1682308848
123,funafuti,-8.5243,179.1942,28.96,71,73,0.93,TV,1682308848
124,khovd,48.0056,91.6419,5.93,30,100,2.05,MN,1682308849
125,floro,61.5996,5.0328,4.02,70,75,5.66,NO,1682308849
126,kone,-21.0595,164.8658,26.36,74,76,4.14,NC,1682308849
127,la ronge,55.1001,-105.2842,1.41,71,98,4.63,CA,1682308849
128,east ballina,-28.8667,153.5833,21.0,63,74,6.9,AU,1682308849
129,hamilton,39.1834,-84.5333,4.87,74,66,1.3,US,1682308809
130,tweed heads,-28.1817,153.547,25.08,72,75,7.72,AU,1682308850
131,carutapera,-1.195,-46.02,23.77,94,99,1.98,BR,1682308850
132,manokwari,-0.8667,134.0833,28.2,71,10,1.81,ID,1682308850
133,port saint john's,-31.6229,29.5448,19.82,58,98,2.62,ZA,1682308850
134,carnarvon,-24.8667,113.6333,22.64,67,100,7.9,AU,1682308850
135,cruzeiro do sul,-29.5128,-51.9853,18.07,89,90,1.1,BR,1682308851
136,mao,39.8885,4.2658,15.31,94,0,2.57,ES,1682308851
137,baardheere,2.3446,42.2764,28.03,71,100,1.63,SO,1682308851
138,kavaratti,10.5669,72.642,28.83,71,96,5.48,IN,1682308851
139,baraki barak,33.9675,68.9486,17.05,23,3,0.45,AF,1682308852
140,zorritos,-3.6805,-80.6782,26.08,79,100,3.28,PE,1682308852
141,quellon,-43.1167,-73.6167,8.09,90,1,1.55,CL,1682308852
142,vorkuta,67.5,64.0,-8.73,94,96,4.33,RU,1682308852
143,hadibu,12.65,54.0333,28.08,68,99,1.71,YE,1682308853
144,kalur kot,32.1564,71.2594,30.71,14,0,2.08,PK,1682308853
145,hobyo,5.3505,48.5268,28.81,73,98,2.86,SO,1682308853
146,edgewater,28.9889,-80.9023,22.83,79,50,4.23,US,1682308853
147,calama,-22.4667,-68.9333,11.27,76,0,2.06,CL,1682308369
148,bredasdorp,-34.5322,20.0403,18.01,89,100,2.59,ZA,1682308853
149,kerikeri,-35.2268,173.9474,17.73,65,1,2.68,NZ,1682308854
150,salyan,39.5936,48.9805,16.03,59,38,2.39,AZ,1682308854
151,capim grosso,-11.3811,-40.0128,19.8,97,34,2.99,BR,1682308672
152,phan thiet,10.9333,108.1,33.37,50,81,5.49,VN,1682308854
153,lompoc,34.6391,-120.4579,13.3,77,33,13.41,US,1682308855
154,pachelma,53.2443,43.3521,12.03,58,94,1.85,RU,1682308855
155,saint-pierre,-21.3393,55.4781,26.43,65,0,2.57,RE,1682308855
156,vila franca do campo,37.7167,-25.4333,18.23,86,100,9.56,PT,1682308855
157,almyros,39.1822,22.7594,12.39,100,20,2.06,GR,1682308855
158,punta arenas,-53.15,-70.9167,5.62,81,100,2.04,CL,1682308856
159,ust-tsilma,65.441,52.1498,-4.85,85,24,3.48,RU,1682308856
160,oranjemund,-28.55,16.4333,14.31,89,99,2.19,NA,1682308815
161,polyarnyy,69.1989,33.4478,-4.55,85,17,4.57,RU,1682308856
162,benque viejo el carmen,17.075,-89.1392,22.02,82,83,1.74,BZ,1682308857
163,tiksi,71.6872,128.8694,-6.02,86,35,2.9,RU,1682308857
164,sarichioi,44.95,28.85,6.12,87,45,0.0,RO,1682308857
165,seaside,36.6111,-121.8516,12.62,87,43,2.24,US,1682308857
166,sisimiut,66.9395,-53.6735,-0.22,99,100,1.45,GL,1682308858
167,kamina,-8.7386,24.9906,17.18,96,99,0.94,CD,1682308858
168,tlalixtac de cabrera,17.0667,-96.65,18.99,76,95,1.44,MX,1682308858
169,portland,45.5234,-122.6762,10.93,77,100,3.13,US,1682308615
170,tamanrasset,22.785,5.5228,18.95,14,0,2.57,DZ,1682308664
171,constantia,44.1833,28.65,5.38,78,2,2.21,RO,1682308859
172,new norfolk,-42.7826,147.0587,21.72,36,1,1.48,AU,1682308859
173,dalandzadgad,43.5708,104.425,9.0,52,100,5.18,MN,1682308859
174,hithadhoo,-0.6,73.0833,29.11,70,100,2.61,MV,1682308860
175,moss bluff,30.3027,-93.1907,14.97,71,100,4.63,US,1682308860
176,nadi,-17.8,177.4167,27.39,74,54,1.29,FJ,1682308861
177,vernon,50.2581,-119.2691,8.75,81,100,2.57,CA,1682308738
178,dryden,49.7833,-92.7503,-6.94,98,57,1.22,CA,1682308861
179,famagusta,35.125,33.95,16.16,70,0,1.73,CY,1682308835
180,megion,61.0296,76.1136,2.01,88,100,8.92,RU,1682308862
181,muynoq,43.7683,59.0214,20.14,37,13,6.98,UZ,1682308862
182,falmouth,50.1544,-5.0711,9.5,93,26,3.6,GB,1682308571
183,promissao,-21.5367,-49.8581,18.23,71,0,3.72,BR,1682308863
184,labrador city,52.9463,-66.9114,-0.16,97,100,1.52,CA,1682308863
185,vadso,70.0744,29.7487,-3.51,80,20,3.6,NO,1682308863
186,newman,37.3138,-121.0208,19.02,74,4,3.47,US,1682308864
187,badger,64.8,-147.5333,-7.49,59,100,6.17,US,1682308864
188,mossel bay,-34.1831,22.146,18.6,83,100,0.45,ZA,1682308864
189,taroa,8.7058,171.2275,27.73,80,67,8.41,MH,1682308865
190,kralendijk,12.15,-68.2667,26.15,81,32,2.97,BQ,1682308865
191,lihue,21.9789,-159.3672,25.58,89,100,4.12,US,1682308865
192,buala,-8.145,159.5921,29.43,72,36,1.89,SB,1682308866
193,kamloops,50.6665,-120.3192,9.3,85,100,0.45,CA,1682308866
194,monteagudo,-19.8167,-63.9833,17.02,79,100,0.09,BO,1682308866
195,uttar char fasson,22.2332,90.7132,29.71,48,2,1.48,BD,1682308866
196,ust-nera,64.5667,143.2,-3.49,91,100,3.68,RU,1682308866
197,mhamid,29.82,-5.72,23.34,28,37,3.89,MA,1682308867
198,walvis bay,-22.9575,14.5053,17.27,72,90,3.19,NA,1682308867
199,coquimbo,-29.9533,-71.3436,15.67,86,12,0.97,CL,1682308867
200,dudinka,69.4058,86.1778,1.46,81,51,6.16,RU,1682308868
201,aljezur,37.3191,-8.8033,12.94,90,2,3.49,PT,1682308868
202,malvan,16.0667,73.4667,29.18,60,6,4.31,IN,1682308869
203,bohl-iggelheim,49.3806,8.3039,10.92,79,100,3.09,DE,1682308869
204,remire-montjoly,4.9167,-52.2667,24.02,100,100,0.0,GF,1682308869
205,piacabucu,-10.4056,-36.4344,24.94,78,24,2.78,BR,1682308869
206,kodinsk,58.6881,99.1844,5.84,68,100,4.18,RU,1682308870
207,tulum,20.2167,-87.4667,25.36,75,55,3.96,MX,1682308870
208,odobesti,45.7667,27.05,7.97,81,9,2.01,RO,1682308870
209,san patricio,28.017,-97.5169,17.91,87,100,6.2,US,1682308870
210,lys'va,58.1086,57.8053,6.63,69,100,1.93,RU,1682308870
211,kegen,43.0197,79.2203,13.48,26,11,1.31,KZ,1682308870
212,georgetown,5.4112,100.3354,31.96,66,20,2.06,MY,1682308805
213,kashgar,39.4547,75.9797,18.45,22,6,2.47,CN,1682308871
214,batticaloa,7.7102,81.6924,30.21,66,92,3.12,LK,1682308871
215,florida,28.7505,-82.5001,22.17,77,0,3.6,US,1682308872
216,talodi,10.6325,30.3797,28.89,48,91,3.21,SD,1682308872
217,san luis de la loma,17.2706,-100.8939,25.58,83,89,1.8,MX,1682308872
218,manacapuru,-3.2997,-60.6206,22.9,86,95,0.67,BR,1682308872
219,rio grande,-32.035,-52.0986,19.78,89,100,4.77,BR,1682308872
220,dunedin,-45.8742,170.5036,11.56,10,12,8.96,NZ,1682308872
221,la passe,45.5549,-0.8967,11.1,83,66,4.13,FR,1682308873
222,santa terezinha,-29.9002,-50.0904,20.03,87,100,5.31,BR,1682308873
223,caucete,-31.6518,-68.2811,15.35,71,100,3.38,AR,1682308873
224,berezovyy,51.6667,135.7,6.03,51,100,5.67,RU,1682308873
225,ulladulla,-35.35,150.4667,23.2,66,57,3.21,AU,1682308427
226,ilulissat,69.2167,-51.1,0.01,100,100,2.57,GL,1682308874
227,trincomalee,8.5711,81.2335,28.81,76,94,3.14,LK,1682308874
228,tambopata,-12.7333,-69.1833,20.54,89,16,1.03,PE,1682308874
229,horta,38.5333,-28.6333,17.23,97,100,7.6,PT,1682308874
230,okhotsk,59.3833,143.3,2.73,59,97,2.31,RU,1682308875
231,odessa,46.4775,30.7326,10.27,65,59,1.58,UA,1682308875
232,tura,25.5198,90.2201,30.11,36,7,0.95,IN,1682308875
233,praia da vitoria,38.7333,-27.0667,17.31,85,100,10.64,PT,1682308876
234,aioun,16.6614,-9.6149,27.26,15,0,4.61,MR,1682308877
235,bikenibeu village,1.3673,173.1241,28.06,80,53,7.0,KI,1682308877
236,santa ana,33.7456,-117.8678,18.81,84,75,3.6,US,1682308877
237,patnongon,10.9132,121.9937,30.08,66,79,4.36,PH,1682308877
238,arraial do cabo,-22.9661,-42.0278,22.05,69,0,1.69,BR,1682308878
239,huaihua,27.5494,109.9592,7.99,93,100,2.1,CN,1682308878
240,pimenta bueno,-11.6725,-61.1936,21.73,98,56,1.17,BR,1682308878
241,egilsstadir,65.2653,-14.3948,-2.0,75,25,1.67,IS,1682308878
242,port moresby,-9.4431,147.1797,28.9,73,97,2.71,PG,1682308813
243,cidade velha,14.9167,-23.6167,21.9,77,3,6.15,CV,1682308879
244,the pas,53.8251,-101.2541,-2.26,86,16,2.68,CA,1682308879
245,muroto-misakicho,33.2833,134.15,16.06,44,100,8.33,JP,1682308833
246,durgapur,23.4833,87.3167,27.16,57,40,3.6,IN,1682308717
247,kindu,-2.95,25.95,19.77,100,100,0.73,CD,1682308879
248,st. john's,47.5649,-52.7093,2.76,95,100,9.39,CA,1682308880
249,vryburg,-26.9566,24.7284,12.67,27,22,1.31,ZA,1682308880
250,montepuez,-13.1256,38.9997,18.84,96,3,1.33,MZ,1682308880
251,nova sintra,14.8667,-24.7167,20.04,75,3,11.47,CV,1682308880
252,colonia,50.9333,6.95,9.98,74,75,5.14,DE,1682308822
253,tsengel,49.4783,100.8894,4.82,28,40,1.2,MN,1682308882
254,iquique,-20.2208,-70.1431,20.19,79,6,1.85,CL,1682308882
255,anadyr,64.75,177.4833,-4.72,79,40,12.0,RU,1682308882
256,obo,5.3998,26.4869,18.62,96,66,1.69,CF,1682308882
257,bobrov,51.0961,40.0333,9.82,85,99,2.13,RU,1682308882
258,vilyuysk,63.7553,121.6247,-0.18,88,21,4.47,RU,1682308883
259,laguna,38.421,-121.4238,20.9,64,0,4.63,US,1682308883
260,viqueque,-8.8673,126.3658,29.55,66,24,2.88,TL,1682308883
261,kirakira,-10.4544,161.9205,29.16,75,29,2.91,SB,1682308883
262,n'zeto,-7.2312,12.8666,25.47,93,100,3.54,AO,1682308884
263,mermoz boabab,14.7065,-17.4758,19.31,88,4,7.53,SN,1682308884
264,mount gambier,-37.8333,140.7667,23.46,36,0,2.76,AU,1682308884
265,ventspils,57.3894,21.5606,7.96,93,100,1.54,LV,1682308884
266,port lincoln,-34.7333,135.8667,22.6,50,0,4.75,AU,1682308885
267,cabedelo,-6.9811,-34.8339,25.27,84,99,4.31,BR,1682308885
268,marshfield,44.6689,-90.1718,1.38,84,25,1.87,US,1682308886
269,taoudenni,22.6783,-3.9836,26.95,20,0,4.11,ML,1682308886
270,beeville,28.4008,-97.7483,16.66,82,100,3.09,US,1682308886
271,richards bay,-28.783,32.0377,17.67,87,67,2.01,ZA,1682308886
272,palikir - national government center,6.9248,158.1611,26.69,82,89,6.82,FM,1682308886
273,codrington,-38.2667,141.9667,23.31,40,0,3.31,AU,1682308887
274,kudat,6.8837,116.8477,31.3,61,71,4.81,MY,1682308887
275,aksu,41.1231,80.2644,17.41,14,8,2.53,CN,1682308598
276,ocampo,21.65,-101.5,17.27,14,95,3.1,MX,1682308887
277,island harbour,50.724,-1.2758,6.66,92,8,0.45,GB,1682308888
278,fortuna,40.5982,-124.1573,11.19,83,100,1.34,US,1682308888
279,tindouf,27.6711,-8.1474,22.35,26,1,2.46,DZ,1682308672
280,saipan,15.1355,145.701,29.25,100,91,4.92,MP,1682308888
